yard_name,yard_address,yard_city,yard_zipcode,yard_phone,yard_lat,yard_long,yard_code,inv_url,prices_url
LKQ Pick Your Part - Ontario,2025 S. Milliken Ave.,Ontario,91761,(800) 962-2277,34.037796,-117.556469,1280,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Ontario-280/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Ontario-280/prices/
LKQ Pick Your Part - Riverside,3760 Pyrite St.,Riverside,92509,(800) 962-2277,34.022324,-117.464737,1290,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Riverside-290/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Riverside-290/prices/
LKQ Pick Your Part - San Bernardino,434 6th St,San Bernardino,92410,(800) 962-2277,34.112791,-117.27674,1291,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_San_Bernardino-291/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_San_Bernardino-291/prices/
LKQ Pick Your Part - Santa Fe Springs,13780 Imperial Highway,Santa Fe Springs,90670,(800) 962-2277,33.916785,-118.039428,1282,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Santa_Fe_Springs-282/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Santa_Fe_Springs-282/prices/
LKQ Pick Your Part - Stanton,8188.5 Katella Ave.,Stanton,90680,(800) 962-2277,33.801884,-117.98722,1268,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Stanton-268/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Stanton-268/prices/
LKQ Pick Your Part - Sun Valley,11201 Pendleton Street,Sun Valley,91352,(800) 962-2277,34.23704,-118.374231,1263,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Sun_Valley-263/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Sun_Valley-263/prices/
LKQ Pick Your Part - Thousand Palms,27600 Sierra Del Sol Road,Thousand Palms,92276,(800) 962-2277,33.851688,-116.387057,1289,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Thousand_Palms-289/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Thousand_Palms-289/prices/
LKQ Pick Your Part - Victorville,17229 Gas Line Road,Victorville,92394,(800) 962-2277,34.562597,-117.328921,1287,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Victorville-287/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Victorville-287/prices/
LKQ Pick Your Part - Wilmington - Help Yourself,1232 Blinn Ave.,Wilmington,90744,(800) 962-2277,33.789313,-118.243532,1262,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Wilmington_-_Help_Yourself-262/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Wilmington_-_Help_Yourself-262/prices/
LKQ Pick Your Part - Aurora,11602 E 33rd Ave.,Aurora,80010,(800) 962-2277,39.763015,-104.852912,1230,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Aurora-230/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Aurora-230/prices/
LKQ Pick Your Part - Denver,6100 North Federal Blvd.,Denver,80221,(800) 962-2277,39.806812,-105.024044,1232,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Denver-232/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Denver-232/prices/
LKQ Pick Your Part - Bradenton,1880 63rd Ave East,Bradenton,34203,(800) 962-CARS,27.428304,-82.541487,1185,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Bradenton-185/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Bradenton-185/prices/
LKQ Pick Your Part - Clearwater,12501 40th Street North,Clearwater,33762,(800) 962-CARS,27.885576,-82.686889,1190,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Clearwater-190/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Clearwater-190/prices/
LKQ Pick Your Part - Ft. Lauderdale,4301 S State road 7,Davie,33314,(800) 962-CARS,26.06991,-80.207568,1198,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Ft._Lauderdale-198/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Ft._Lauderdale-198/prices/
LKQ Pick Your Part - Daytona,3157 W International Speedway Blvd.,Daytona Beach,32124,(800) 962-2277,29.157999,-81.09586,1225,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Daytona-225/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Daytona-225/prices/
LKQ Self Service - Gainesville,8910 NW 13th St.,Gainesville,32653,(800) 962-CARS,29.736731,-82.383762,1224,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Gainesville-224/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Gainesville-224/prices/
LKQ Pick Your Part - Largo,11900 Starkey Rd.,Largo,33773,(800) 962-CARS,27.881082,-82.761036,1189,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Largo-189/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Largo-189/prices/
LKQ Pick Your Part - Orlando,9205 E Colonial Dr.,Orlando,32817,(800) 962-2277,28.570512,-81.260726,1134,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Orlando-134/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Orlando-134/prices/
LKQ Pick Your Part - Tampa,5109 Causeway Blvd,Tampa,33619,(800) 962-CARS,27.921077,-82.398649,1180,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Tampa-180/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Tampa-180/prices/
LKQ ABC Pick Your Part,451 Benoist Farms Rd.,West Palm Beach,33411,(800) 962-CARS,26.682464,-80.174677,1196,https://www.lkqpickyourpart.com/locations/LKQ_ABC_Pick_Your_Part-196/recents/,https://www.lkqpickyourpart.com/locations/LKQ_ABC_Pick_Your_Part-196/prices/
LKQ Pick Your Part - Fayetteville,155 Roberts Rd.,Fayetteville,30214,(800) 962-2277,33.489468,-84.437476,1229,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fayetteville-229/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fayetteville-229/prices/
LKQ Pick Your Part - Savannah,1321 Hwy 80 West,Savannah,31408,(800) 962-2277,32.084302,-81.162615,1163,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Savannah-163/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Savannah-163/prices/
LKQ Pick Your Part - Blue Island,2247 W 141 St.,Blue Island,60406,(800) 962-2277,41.63206,-87.673087,1582,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Blue_Island-582/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Blue_Island-582/prices/
LKQ Pick Your Part - Chicago South,3130 S. St Louis Ave.,Chicago,60623,(800) 962-2277,41.835703,-87.712725,1585,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago_South-585/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago_South-585/prices/
LKQ Pick Your Part - Chicago,4555 W North Ave.,Chicago,60639,(800) 962-2277,41.909709,-87.740647,1581,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago-581/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago-581/prices/
LKQ Pick Your Part - Chicago Heights,551 East Lincoln Highway,Chicago Heights,60411,(800) 962-2277,41.506504,-87.607158,1584,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago_Heights-584/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chicago_Heights-584/prices/
LKQ Pick Your Part - Rockford,601 Harrison Ave.,Rockford,61104,(800) 962-2277,42.236755,-89.090793,1250,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Rockford-250/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Rockford-250/prices/
LKQ Pick Your Part - St. Louis,6111 Bunkum Rd.,Washington Park,62204,(800) 962-2277,38.626347,-90.083282,1586,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_St._Louis-586/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_St._Louis-586/prices/
LKQ Pick Your Part - Fort Wayne,4820 Moeller Road,Fort Wayne,46806,(800) 962-2277,41.053952,-85.076511,1254,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fort_Wayne-254/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Fort_Wayne-254/prices/
LKQ Pick Your Part - South Bend,1602 S. Lafayette Blvd.,South Bend,46613,(800) 962-2277,41.658113,-86.253114,1255,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_South_Bend-255/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_South_Bend-255/prices/
LKQ Pick Your Part - Wichita,700 E 21st Street N.,Wichita,67214,(800) 962-2277,37.723597,-97.330091,1246,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Wichita-246/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Wichita-246/prices/
LKQ Pick Your Part - Baltimore - Hawkins,2801 Hawkins Point Rd.,Baltimore,21226,(800) 962-2277,39.203626,-76.562799,1207,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Baltimore_-_Hawkins-207/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Baltimore_-_Hawkins-207/prices/
LKQ Pick Your Part - Baltimore,6201 Erdman Ave.,Baltimore,21205,(800) 962-2277,39.300739,-76.543787,1205,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Baltimore-205/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Baltimore-205/prices/
LKQ Pick Your Part - Edgewood,1706 Pulaski Highway,Edgewood,21040,(800) 962-2277,39.43432,-76.322442,1209,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Edgewood-209/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Edgewood-209/prices/
LKQ Pick Your Part - Mount Airy,3923 Twin Arch Rd.,Mount Airy,21771,(800) 962-2277,39.360855,-77.136449,1208,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Mount_Airy-208/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Mount_Airy-208/prices/
LKQ Pick Your Part - Holland,11475 Chicago Dr.,Holland,49424,(800) 962-2277,42.803808,-86.064973,1346,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Holland-346/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Holland-346/prices/
LKQ Pick Your Part - Grand Rapids,4676 Division Ave. South,Wayland,49348,(800) 962-2277,42.759964,-85.663324,1348,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Grand_Rapids-348/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Grand_Rapids-348/prices/
LKQ Pick Your Part - Charlotte,3900 Chesapeake Dr.,Charlotte,28216,(800) 962-2277,35.274914,-80.868433,1228,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Charlotte-228/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Charlotte-228/prices/
LKQ Pick Your Part - Raleigh,2928 US 70 E,Clayton,27520,(800) 962-2277,35.674042,-78.517716,1168,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Raleigh-168/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Raleigh-168/prices/
LKQ Pick Your Part - Durham,1301 South Miami Blvd.,Durham,27703,(800) 962-2277,35.959784,-78.841397,1142,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Durham-142/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Durham-142/prices/
LKQ Pick Your Part - Greensboro,100 Ward Rd,Greensboro,27405,(800) 962-2277,36.083363,-79.727094,1226,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Greensboro-226/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Greensboro-226/prices/
LKQ Pick Your Part - East NC,4558 U.S. 13,Greenville,27834,(800) 962-2277,35.572021,-77.447085,1227,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_East_NC-227/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_East_NC-227/prices/
LKQ Pick Your Part - Cincinnati,2040 E Kemper Rd,Cincinnati,45241,(800) 962-2277,39.286363,-84.43952,1253,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Cincinnati-253/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Cincinnati-253/prices/
LKQ Pick Your Part - Dayton,4283 N. James H McGee Blvd.,Dayton,45417,(800) 962-2277,39.772375,-84.254094,1257,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Dayton-257/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Dayton-257/prices/
LKQ Pick Your Part - Toledo,6193 Hagman Rd.,Toledo,43612,(800) 962-2277,41.731547,-83.509056,1259,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Toledo-259/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Toledo-259/prices/
LKQ Self Service - Oklahoma City,900 South McArthur Blvd.,Oklahoma City,73128,(800) 962-2277,35.456126,-97.615521,1245,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Oklahoma_City-245/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Oklahoma_City-245/prices/
LKQ Pick Your Part - Tulsa,3112 North Peoria Ave.,Tulsa,74106,(800) 962-2277,36.198951,-95.975591,1746,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Tulsa-746/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Tulsa-746/prices/
LKQ Self Service - Greenville,1300 White Horse Rd.,Greenville,29605,(800) 962-2277,34.787175,-82.411276,1212,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Greenville-212/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Greenville-212/prices/
LKQ Pick Your Part - Greer,13054 E. Wade Hampton Blvd.,Greer,29650,(800) 962-2277,34.954742,-82.172468,1213,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Greer-213/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Greer-213/prices/
LKQ Pick Your Part of Charleston,4646 Rivers Ave.,Charleston,29405,(800) 962-2277,32.875885,-80.001991,1220,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_of_Charleston-220/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_of_Charleston-220/prices/
LKQ Pick Your Part - Chattanooga,400 Workman Road,Chattanooga,37410,(800) 962-2277,34.996417,-85.307864,1217,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chattanooga-217/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Chattanooga-217/prices/
LKQ Pick Your Part - Memphis,966 West Mitchell Rd.,Memphis,38109,(800) 962-2277,35.057042,-90.096337,1215,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Memphis-215/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Memphis-215/prices/
LKQ Pick Your Part - Nashville,2030 Lucas Lane,Nashville,37207,(800) 962-2277,36.205209,-86.771173,1218,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Nashville-218/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Nashville-218/prices/
LKQ Pick Your Part - Austin,7900 S. Congress Avenue,Austin,78745,(800) 962-2277,30.179403,-97.784704,1234,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Austin-234/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Austin-234/prices/
LKQ Pick Your Part - Houston Northville,1100 Northville,Houston,77038,(800) 962-2277,29.909725,-95.421423,1235,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_Northville-235/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_Northville-235/prices/
LKQ Pick Your Part - Houston SW,12575 Hiram Clarke Rd.,Houston,77045,(800) 962-2277,29.6479,-95.446416,1239,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_SW-239/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_SW-239/prices/
LKQ Pick Your Part - Houston Wallisville,9314 Wallisville Rd.,Houston,77013,(800) 962-2277,29.789143,-95.259551,1236,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_Wallisville-236/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Pick_Your_Part_-_Houston_Wallisville-236/prices/
LKQ Self Service - Milwaukee,6102 South 13th Street,Milwaukee,53221,(800) 962-2277,42.932587,-87.925869,1256,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Milwaukee-256/recents/,https://www.lkqpickyourpart.com/locations/LKQ_Self_Service_-_Milwaukee-256/prices/
